日期 时间 WH主压力（psi） T主压力（psi） WL主压力（psi） WH备压力（psi） T备压力（psi） WL备压力（psi） 高层进气压力（psi） 高层干燥气压力（psi） 高层卸压流量（L/min） 高层干燥气流量（L/min） 高层旁路流量（L/min） 低层进气压力（psi） 低层干燥气压力（psi） 低层卸压流量（L/min） 低层干燥气流量（L/min） 低层旁路流量（L/min）
2025-01-16 22:01:52 1539.61 1428.93 1674.65 0.00 0.00 0.00 16.33 4.55 0.00 5.00 1.00 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:53 1541.82 1433.35 1681.29 0.00 0.00 0.00 16.39 6.14 0.00 4.87 0.98 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:54 1539.61 1431.14 1681.29 0.00 0.00 0.00 16.39 4.98 0.00 4.99 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:55 1539.61 1426.71 1674.65 0.00 0.00 0.00 16.39 6.44 0.00 4.99 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:56 1535.18 1424.50 1672.43 0.00 0.00 0.00 16.45 6.38 0.00 4.98 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:57 1532.97 1424.50 1672.43 0.00 0.00 0.00 16.39 6.26 0.00 4.99 1.00 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:58 1544.04 1431.14 1681.29 0.00 0.00 0.00 16.45 6.32 0.00 5.00 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:59 1539.61 1431.14 1661.36 0.00 0.00 0.00 15.29 6.32 0.00 4.97 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:02:01 1532.97 1422.29 1670.22 0.00 0.00 0.00 16.33 6.26 0.00 4.95 0.98 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:02:02 1541.82 1426.71 1659.15 0.00 0.00 0.00 15.05 6.32 0.00 4.98 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:02:03 1544.04 1433.35 1679.07 0.00 0.00 0.00 16.33 6.01 0.00 4.80 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:02:04 1539.61 1428.93 1670.22 0.00 0.00 0.00 16.33 6.07 0.00 5.01 0.98 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:02:05 1539.61 1422.29 1681.29 0.00 0.00 0.00 16.21 4.12 0.00 4.98 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:02:06 1539.61 1426.71 1674.65 0.00 0.00 0.00 16.09 6.44 0.00 4.98 1.00 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:02:07 1539.61 1426.71 1663.58 0.00 0.00 0.00 14.13 6.50 0.00 4.95 1.00 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:02:08 1546.25 1426.71 1670.22 0.00 0.00 0.00 15.90 5.71 0.00 5.08 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:02:09 1539.61 1431.14 1670.22 0.00 0.00 0.00 16.39 6.44 0.00 5.08 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:02:10 1541.82 1426.71 1676.86 0.00 0.00 0.00 16.39 6.38 0.00 5.06 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:02:11 1535.18 1424.50 1668.00 0.00 0.00 0.00 16.45 6.07 0.00 5.08 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:02:12 1541.82 1424.50 1676.86 0.00 0.00 0.00 16.03 5.46 0.00 5.08 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:02:13 1541.82 1431.14 1659.15 0.00 0.00 0.00 14.44 6.50 0.00 5.08 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:02:14 1537.40 1426.71 1668.00 0.00 0.00 0.00 16.39 6.32 0.00 5.08 1.00 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:02:15 1537.40 1426.71 1674.65 0.00 0.00 0.00 16.45 6.56 0.00 5.08 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:02:16 1537.40 1424.50 1670.22 0.00 0.00 0.00 15.60 6.01 0.00 5.08 1.00 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:02:17 1537.40 1431.14 1670.22 0.00 0.00 0.00 16.39 6.56 0.00 5.00 0.97 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:02:18 1539.61 1428.93 1670.22 0.00 0.00 0.00 15.48 6.50 0.00 5.08 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:02:19 1532.97 1420.07 1672.43 0.00 0.00 0.00 16.51 6.50 0.00 5.05 1.00 0.00 0.00 0.00 0.00 0.00
